seeds: 4088478806 114805397 289354458 164506173 1415635989 166087295 1652880954 340945548 3561206012 483360452 35205517 252097746 1117825174 279314434 3227452369 145640027 2160384960 149488635 2637152665 236791935

seed-to-soil map:
3333452986 2926455387 455063168
3222292973 1807198589 111160013
4073195028 1120843626 221772268
3215232741 2255546991 7060232
1658311530 2727928910 32644400
2680271553 1918358602 337188389
1690955930 3973557555 28589896
2081345351 4046183137 248784159
2374165196 3613106716 306106357
1553535599 2504868379 49003335
4018850546 3919213073 54344482
2050713919 2287201502 30631432
3183342019 1775307867 31890722
3975551599 2553871714 43298947
1120843626 1342615894 432691973
2330129510 4002147451 44035686
1719545826 2628348978 99579932
1819125758 3381518555 231588161
1627133213 2597170661 31178317
3017459942 2760573310 165882077
3788516154 2317832934 187035445
1602538934 2262607223 24594279
